Volcano ID,volcano_name,eruption_number,eruption_category,Start Date,End Date,vei,latitude,longitude
266030,Soputan,22354,Confirmed Eruption,2020-03-23,2020-04-02,,1.112,124.737
343100,San Miguel,22355,Confirmed Eruption,2020-02-22,2020-02-22,,13.434,-88.269
233020,"Fournaise, Piton de la",22343,Confirmed Eruption,2020-02-10,2020-04-06,,-21.244,55.708
345020,Rincon de la Vieja,22346,Confirmed Eruption,2020-01-31,2020-04-17,,10.83,-85.324
353010,Fernandina,22347,Confirmed Eruption,2020-01-12,2020-01-12,,-0.37,-91.55
273070,Taal,22344,Confirmed Eruption,2020-01-12,2020-01-22,,14.002,120.993
282050,Kuchinoerabujima,22345,Confirmed Eruption,2020-01-11,2020-04-17,,30.443,130.217
241040,Whakaari/White Island,22338,Confirmed Eruption,2019-12-09,2019-12-09,2.0,-37.52,177.18
311060,Semisopochnoi,22341,Confirmed Eruption,2019-12-07,2020-03-15,,51.93,179.58
284096,Nishinoshima,22340,Confirmed Eruption,2019-12-05,2020-04-17,1.0,27.247,140.874
311240,Cleveland,22342,Uncertain Eruption,2019-11-07,2019-12-07,,52.825,-169.944
282060,Kikai,22339,Confirmed Eruption,2019-11-02,2020-04-16,,30.793,130.305
300260,Klyuchevskoy,22335,Confirmed Eruption,2019-10-24,2020-04-17,,56.056,160.642
243070,Lateiki,22334,Confirmed Eruption,2019-10-13,2019-10-22,1.0,-19.18,-174.87
283110,Asamayama,22326,Confirmed Eruption,2019-08-07,2019-08-25,,36.406,138.523
357090,Copahue,22336,Confirmed Eruption,2019-08-02,2019-11-12,,-37.856,-71.183
263090,Tangkuban Parahu,22325,Confirmed Eruption,2019-07-26,2019-09-17,,-6.77,107.6
311360,Shishaldin,22330,Confirmed Eruption,2019-07-23,2020-04-09,,54.756,-163.97
351020,"Ruiz, Nevado del",22329,Confirmed Eruption,2019-07-23,2020-04-13,,4.892,-75.324
311060,Semisopochnoi,22328,Confirmed Eruption,2019-07-16,2019-08-24,,51.93,179.58
252120,Ulawun,22319,Confirmed Eruption,2019-06-26,2019-10-05,,-5.05,151.33
354020,Ubinas,22324,Confirmed Eruption,2019-06-24,2019-12-24,,-16.355,-70.903
290250,Raikoke,22321,Confirmed Eruption,2019-06-22,2019-07-01,,48.292,153.25
233020,"Fournaise, Piton de la",22318,Confirmed Eruption,2019-06-11,2019-10-27,,-21.244,55.708
311120,Great Sitkin,22322,Confirmed Eruption,2019-06-01,2019-06-07,,52.076,-176.13
290240,Sarychev Peak,22320,Confirmed Eruption,2019-05-16,2019-10-07,2.0,48.092,153.2
341040,Colima,22323,Confirmed Eruption,2019-05-11,2019-07-12,,19.514,-103.62
282110,Asosan,22317,Confirmed Eruption,2019-04-16,2020-04-17,,32.884,131.104
300260,Klyuchevskoy,22310,Confirmed Eruption,2019-04-09,2019-07-02,,56.056,160.642
352090,Sangay,22312,Confirmed Eruption,2019-03-26,2020-04-17,,-2.005,-78.341
344020,San Cristobal,22311,Confirmed Eruption,2019-03-04,2019-03-04,,12.702,-87.004
233020,"Fournaise, Piton de la",22307,Confirmed Eruption,2019-02-18,2019-03-10,,-21.244,55.708
263310,Tengger Caldera,22306,Confirmed Eruption,2019-02-18,2019-07-28,2.0,-7.942,112.95
300130,Karymsky,22309,Confirmed Eruption,2019-02-16,2019-09-24,,54.049,159.443
345040,Poas,22303,Confirmed Eruption,2019-02-07,2019-09-30,,10.2,-84.233
261080,Sinabung,22316,Confirmed Eruption,2019-02-06,2019-06-09,,3.17,98.392
256010,Tinakula,22313,Confirmed Eruption,2018-12-08,2020-04-11,2.0,-10.386,165.804
267020,Karangetang,22294,Confirmed Eruption,2018-11-25,2020-04-17,2.0,2.781,125.407
357040,Planchon-Peteroa,22297,Confirmed Eruption,2018-11-07,2019-05-07,1.0,-35.223,-70.568
351020,"Ruiz, Nevado del",22298,Uncertain Eruption,2018-10-26,2018-10-26,,4.892,-75.324
282050,Kuchinoerabujima,22296,Confirmed Eruption,2018-10-21,2019-02-03,3.0,30.443,130.217
268060,Gamalama,22295,Confirmed Eruption,2018-10-04,2018-10-06,1.0,0.8,127.33
266030,Soputan,22293,Confirmed Eruption,2018-10-02,2018-12-16,3.0,1.112,124.737
260010,Barren Island,22292,Confirmed Eruption,2018-09-25,2020-04-16,1.0,12.278,93.858
252120,Ulawun,22286,Confirmed Eruption,2018-09-21,2018-10-12,2.0,-5.05,151.33
290200,Ketoi,22287,Uncertain Eruption,2018-09-21,2018-09-21,1.0,47.35,152.475
290240,Sarychev Peak,22288,Confirmed Eruption,2018-09-08,2018-10-15,2.0,48.092,153.2
311060,Semisopochnoi,22289,Confirmed Eruption,2018-09-08,2018-10-31,1.0,51.93,179.58
312070,Veniaminof,22290,Confirmed Eruption,2018-09-04,2018-12-23,1.0,56.17,-159.38
290390,Alaid,22281,Confirmed Eruption,2018-08-20,2018-08-21,1.0,50.861,155.565
352090,Sangay,22283,Confirmed Eruption,2018-08-08,2018-12-07,2.0,-2.005,-78.341
345020,Rincon de la Vieja,22282,Confirmed Eruption,2018-07-28,2019-06-11,1.0,10.83,-85.324
284096,Nishinoshima,22280,Confirmed Eruption,2018-07-12,2018-07-21,1.0,27.247,140.874
233005,Mayotte,22337,Confirmed Eruption,2018-07-03,2019-08-20,0.0,-12.83,45.17
353050,"Negra, Sierra",22279,Confirmed Eruption,2018-06-26,2018-08-23,2.0,-0.83,-91.17
344040,Telica,22277,Confirmed Eruption,2018-06-21,2018-08-15,1.0,12.606,-86.84
262000,Krakatau,22275,Confirmed Eruption,2018-06-18,2020-04-17,3.0,-6.102,105.423
353010,Fernandina,22278,Confirmed Eruption,2018-06-16,2018-06-21,1.0,-0.37,-91.55
311120,Great Sitkin,22276,Confirmed Eruption,2018-06-10,2018-08-11,1.0,52.076,-176.13
252120,Ulawun,22285,Confirmed Eruption,2018-06-08,2018-06-08,1.0,-5.05,151.33
263250,Merapi,22264,Confirmed Eruption,2018-05-11,2020-04-17,3.0,-7.54,110.446
